"Country name","Code","Year","Age-standardized suicide rate - Sex: both sexes","Life Ladder","Social support","Healthy life expectancy at birth","Freedom to make life choices","Perceptions of corruption","Indicator Name","Indicator Code","GDP","VAR","Variable","MEA","Measure","ISIC4...7","ISIC4...8","Unit Code","Unit","Value","Quarter"
"Netherlands","NLD",2011,8.4,7.56379795074463,0.938396096229553,71.5199966430664,0.925431549549103,0.359395891427994,"GDP (current US$)","NY.GDP.MKTP.CD",9.05271e+11,"BANKRUPTCIES","Number of bankruptcies","INDEX","Index 2007=100","01_99","Grand Total","IDX","Index",130.675827026367,"Q4"
"Netherlands","NLD",2011,8.4,7.56379795074463,0.938396096229553,71.5199966430664,0.925431549549103,0.359395891427994,"GDP (current US$)","NY.GDP.MKTP.CD",9.05271e+11,"BANKRUPTCIES","Number of bankruptcies","INDEX","Index 2007=100","01_99C","Grand total (corporations only)","IDX","Index",165.188751220703,"Q1"
"Netherlands","NLD",2011,8.4,7.56379795074463,0.938396096229553,71.5199966430664,0.925431549549103,0.359395891427994,"GDP (current US$)","NY.GDP.MKTP.CD",9.05271e+11,"BANKRUPTCIES","Number of bankruptcies","INDEX","Index 2007=100","01_99C","Grand total (corporations only)","IDX","Index",163.487197875977,"Q2"
"Netherlands","NLD",2011,8.4,7.56379795074463,0.938396096229553,71.5199966430664,0.925431549549103,0.359395891427994,"GDP (current US$)","NY.GDP.MKTP.CD",9.05271e+11,"BANKRUPTCIES","Number of bankruptcies","INDEX","Index 2007=100","01_99C","Grand total (corporations only)","IDX","Index",171.365615844727,"Q3"
"Netherlands","NLD",2011,8.4,7.56379795074463,0.938396096229553,71.5199966430664,0.925431549549103,0.359395891427994,"GDP (current US$)","NY.GDP.MKTP.CD",9.05271e+11,"BANKRUPTCIES","Number of bankruptcies","INDEX","Index 2007=100","01_99C","Grand total (corporations only)","IDX","Index",186.285995483398,"Q4"
"France","FRA",2011,135.949,6.9591851234436,0.921285569667816,72.4000015258789,0.90336662530899,0.626624524593353,"GDP (current US$)","NY.GDP.MKTP.CD",2.86516e+12,"BANKRUPTCIES","Number of bankruptcies","INDEX","Index 2007=100","01_99C","Grand total (corporations only)","IDX","Index",115.319374084473,"Q1"
"France","FRA",2011,135.949,6.9591851234436,0.921285569667816,72.4000015258789,0.90336662530899,0.626624524593353,"GDP (current US$)","NY.GDP.MKTP.CD",2.86516e+12,"BANKRUPTCIES","Number of bankruptcies","INDEX","Index 2007=100","01_99C","Grand total (corporations only)","IDX","Index",115.898414611816,"Q2"
"France","FRA",2011,135.949,6.9591851234436,0.921285569667816,72.4000015258789,0.90336662530899,0.626624524593353,"GDP (current US$)","NY.GDP.MKTP.CD",2.86516e+12,"BANKRUPTCIES","Number of bankruptcies","INDEX","Index 2007=100","01_99C","Grand total (corporations only)","IDX","Index",114.428863525391,"Q3"
"France","FRA",2011,135.949,6.9591851234436,0.921285569667816,72.4000015258789,0.90336662530899,0.626624524593353,"GDP (current US$)","NY.GDP.MKTP.CD",2.86516e+12,"BANKRUPTCIES","Number of bankruptcies","INDEX","Index 2007=100","01_99C","Grand total (corporations only)","IDX","Index",113.995307922363,"Q4"
"Finland","FIN",2011,156.825,7.35422515869141,0.93785685300827,70.6399993896484,0.936448395252228,0.319593191146851,"GDP (current US$)","NY.GDP.MKTP.CD",2.75604e+11,"BANKRUPTCIES","Number of bankruptcies","INDEX","Index 2007=100","01_99","Grand Total","IDX","Index",133.921920776367,"Q1"
