Data Source,,,,,,,,,
,,,,,,,,,
Last Updated Date,,,,,,,,,
,,,,,,,,,
Country Name,2011,2012,2013,2014,2015,2016,2017,2018,2019
Denmark,61753.647131977,58507.5080517852,61191.1937042028,62548.9847332908,53254.8563700916,54663.9983719195,57610.0981801135,61591.9288698958,59592.9806886454
Dominican Republic,5859.381524313,6049.47158709846,6171.29512670907,6533.67091082712,6838.93674590634,7191.06970308651,7513.49798180543,7947.15933093481,8173.34469885261
Algeria,5473.28182611668,5610.73328198233,5519.77757552373,5516.22944039649,4197.41998491398,3967.20064743809,4134.93608656171,4171.79038755546,4021.9832660524
East Asia & Pacific (excluding high income),4863.6957803145,5376.65282464648,5881.99243142907,6292.35718335376,6500.07274972082,6592.55540801677,7151.33860752498,7944.81436789169,8172.02375582395
Early-demographic dividend,3274.59204789813,3375.0214245273,3373.55810925847,3440.55427521108,3227.84555073022,3278.24180138988,3498.57567723579,3493.67856383901,3521.64420581784
East Asia & Pacific,8893.52278520374,9436.83616433223,9468.66912326346,9695.92345829542,9586.06190605841,9856.58153923839,10454.5243261564,11312.9043635973,11484.4172716472
Europe & Central Asia (excluding high income),9624.48220510402,10211.1202315818,10762.5280559086,9914.02904436971,7486.32741358411,7075.87465465798,7900.5553161219,8025.1556076003,8153.19343366464
Europe & Central Asia,26146.8901000866,25096.8644191198,26100.9461445819,26348.2694899961,22588.5885741348,22411.2420796889,23688.0576571875,25276.8194439604,24892.3935494921
Ecuador,5202.65645902066,5678.45572070003,6050.3546113274,6374.6314856366,6130.58667556768,6079.08873612077,6246.40425217932,6321.34940071717,6233.25816692363
"Egypt, Arab Rep.",2645.6225349104,3059.13542779204,3088.8908340843,3196.86138078687,3370.38244716015,3331.61246134688,2439.96728439968,2531.20007864537,3017.25833578941
Euro area,40329.0910577796,37290.4268882728,38805.9055750064,39593.9621522915,34117.7241567807,34888.7416850429,36877.9622215943,39753.1249115891,38902.8247794641
Eritrea,643.790042311239,,,,,,,,
Spain,31677.9003083652,28322.9465923276,29077.1820557563,29513.6511800405,25754.36102944,26537.1594894542,28185.3213671969,30379.7211126422,29581.5185513299
Estonia,17487.8047830922,17403.2053254767,19056.0019226989,20261.0667303886,17402.0376128079,18295.3429322114,20437.765376736,23165.8494786437,23424.4847073518
Ethiopia,348.001348291465,458.550920793057,490.792478420391,557.534148360438,630.312619383054,705.617508543589,755.752644348666,758.29769449458,840.449601255171
European Union,35767.0827371472,33169.1180971754,34564.5825482831,35282.0273007264,30487.1561746619,31174.0338747893,33090.6343990218,35751.5725841052,35079.5342959551
Fragile and conflict affected situations,2118.06695089358,2310.81113599107,2338.7182999681,2428.07336146072,1890.48128048185,1742.89312142657,1805.79377110949,1852.31846301657,1919.7832508586
Finland,51148.9316365833,47708.0612784469,49892.2233632732,50327.2402902632,42801.9081167285,43814.0265056965,46412.1364777169,49987.6261584968,48629.8582283032
Fiji,4160.72119311815,4359.79240035309,4586.95521117587,5305.06443160892,5105.18961191892,5368.43349186431,5825.19966514413,6073.39457942347,5927.72420758285
France,43846.4660764798,40870.8523645734,42602.7179652667,43068.5487241739,36652.9223052178,37062.5335723829,38781.0494870836,41557.8548588876,40494.8982936276
Faroe Islands,51786.480991824,50157.0587890212,55560.1330274996,60126.1256426858,52726.6873782078,56833.9165410522,59328.2376643374,62576.8016380509,63203.7447848956
"Micronesia, Fed. Sts.",2885.44124871393,3023.58544607879,2920.70086272777,2928.44878191958,2891.32210264749,3022.65362747328,3320.3549760029,3623.32933678299,3734.99492723045
Gabon,10273.798444898,9348.51487640056,9250.08111462036,9255.36803467635,7090.45463394942,6722.19822269059,6975.69519191402,7694.90605067973,7523.86228077637
United Kingdom,42109.6418795749,42497.3404974322,43426.2981405143,47439.6165895125,44964.3911437292,40985.2351382417,40572.1214823783,43203.8141057739,42662.5353740311
Georgia,4021.75522955035,4421.930711904,4623.88471369397,4739.27691304547,4014.11165137641,4062.12697838612,4356.92801624893,4722.0424231414,4696.15058555612
Ghana,1501.05917129856,1536.61963499859,2282.40750113579,1942.92186873525,1711.27131722255,1900.39767444476,1998.72266581387,2180.02968425645,2167.92544000869
Gibraltar,,,,,,,,,
Guinea,644.502548659895,707.967678199003,757.692272561928,774.5690395852,756.425589810936,720.473255172646,843.464279230956,944.417268657317,1043.89988618266
